consolidated_cleaned_research_request,fy_fq_requests_removed,missing_quarter_requests_removed,new_fact_count,new_wave,old_fact_count,old_wave,remaining_facts,source_semantics_requests_removed,structural_review_still_required,ticker
"Research official issuer sources for FY2025 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2026 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Cash, first-public result publication date, lineage/source ownership evidence, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify Total Debt. Do not research other fields.",0,0,8,P2_LATEST4Q,8,P2_LATEST4Q,CASH|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|TOTAL_DEBT,0,NO,ALAB
"Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q4. Verify Cash. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash. Do not research other fields.",0,0,6,P3_LATEST8Q,6,P3_LATEST8Q,CAPEX_FOR_FCF|CASH|FCF_DIRECT|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,0,NO,ALDX
"Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash, Revenue. Do not research other fields.",0,2,4,P3_LATEST8Q,6,P3_LATEST8Q,CASH|REVENUE|TOTAL_DEBT,0,NO,ALEC
"Research official issuer sources for FY2025 Q1. Verify lineage/source ownership evidence, official period_end. Do not research other fields.",0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,LINEAGE_OWNERSHIP_EVIDENCE|OFFICIAL_PERIOD_END,0,NO,ALGM
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,1,2,P3_LATEST8Q,3,P3_LATEST8Q,TOTAL_DEBT,0,NO,ALGN
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,2,2,P3_LATEST8Q,4,P3_LATEST8Q,TOTAL_DEBT,0,NO,ALGS
,0,1,0,NO_EXTERNAL_RESEARCH_NEEDED,1,P3_LATEST8Q,,0,NO,ALHC
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,1,2,P3_LATEST8Q,3,P3_LATEST8Q,TOTAL_DEBT,0,NO,ALKT
Research official issuer sources for FY2024 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.,0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,TOTAL_DEBT,0,NO,ALLO
"Research official issuer sources for FY2024 Q1. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, FCF, Revenue, source semantics confirmation. Do not research other fields.",0,2,12,P3_LATEST8Q,14,P3_LATEST8Q,CAPEX_FOR_FCF|FCF_DIRECT|REVENUE|SOURCE_SEMANTICS_CONFIRMATION,0,NO,ALLR
"Research official issuer sources for FY2023 Q4. Verify first-public result publication date, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q1. Verify first-public result publication date, lineage/source ownership evidence, target collision evidence, Total Debt. Do not research other fields.",0,0,6,P3_LATEST8Q,6,P3_LATEST8Q,FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,0,YES,ALMU
,0,2,0,NO_EXTERNAL_RESEARCH_NEEDED,2,P3_LATEST8Q,,0,NO,ALNT
"Research official issuer sources for FY2024 Q1. Verify Capex required to derive FCF, FCF, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, FCF, source semantics confirmation, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.",0,2,9,P3_LATEST8Q,11,P3_LATEST8Q,CAPEX_FOR_FCF|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,0,NO,ALT
,0,1,0,NO_EXTERNAL_RESEARCH_NEEDED,1,P3_LATEST8Q,,0,NO,ALV
Research official issuer sources for FY2024 Q2. Verify Revenue. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify Revenue. Do not research other fields.,0,2,2,P3_LATEST8Q,4,P3_LATEST8Q,REVENUE,0,NO,ALXO
"Research official issuer sources for FY2026 Q1. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2026 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2026 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q2. Verify Revenue, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q4. Verify Total Debt. Do not research other fields.",0,0,9,P2_LATEST4Q,9,P2_LATEST4Q,REVENUE|TOTAL_DEBT,0,NO,ALZN
"Research official issuer sources for FY2024 Q2. Verify lineage/source ownership evidence, target collision evidence, Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q3. Verify Total Debt. Do not research other fields.",0,0,4,P3_LATEST8Q,4,P3_LATEST8Q,LINEAGE_OWNERSHIP_EVIDENCE|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,0,YES,AMBA
"Research official issuer sources for FY2024 Q2. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2024 Q3. Verify EBIT, source semantics confirmation. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify EBIT, source semantics confirmation. Do not research other fields.",0,2,6,P3_LATEST8Q,8,P3_LATEST8Q,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,0,NO,AMH
"Research official issuer sources for FY2026 Q2. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2026 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q1. Verify Cash, first-public result publication date, Total Debt. Do not research other fields.; Research official issuer sources for FY2024 Q2. Verify Cash, first-public result publication date, missing quarter existence/source evidence, Total Debt. Do not research other fields.",0,0,9,P2_LATEST4Q,9,P2_LATEST4Q,CASH|FIRST_PUBLIC_PUBLISH_DATE|MISSING_QUARTER_EXISTENCE|TOTAL_DEBT,0,YES,AMIX
Research official issuer sources for FY2024 Q3. Verify Total Debt. Do not research other fields.; Research official issuer sources for FY2025 Q1. Verify Cash. Do not research other fields.,0,0,2,P3_LATEST8Q,2,P3_LATEST8Q,CASH|TOTAL_DEBT,0,NO,AMLX
