affected_downstream_layers,closure_dependency,company_id,confidence,current_period_end,current_publish_date,current_ttm_impact,downstream_layer_count,evidence_types_needed,exact_information_needed,existing_local_evidence_summary,fact_count,first_batch_score,fiscal_quarter,fiscal_year,lifecycle_impact,preferred_source_type,priority,quarter_position_latest8q,research_request,research_task_id,score_impact,status,structural_warning,ticker,valuation_impact,why_needed
Latest8Q closure,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|SOURCE_SEMANTICS_CONFIRMATION,784,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-12-31,2026-04-28,NO,0,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|OCF_FOR_FCF|SOURCE_SEMANTICS_CONFIRMATION,Verify Capex required to derive FCF for FY2025 Q4; Verify EBIT for FY2025 Q4; Verify FCF for FY2025 Q4; Verify OCF required to derive FCF for FY2025 Q4; Verify source semantics confirmation for FY2025 Q4,Phase 8G issue=PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_EBIT|NEED_FCF|NEED_OCF|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,5,40,Q4,2025,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,3,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, source semantics confirmation. Do not research other fields.",P8H-2-0122,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,ELME,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,1068,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-06-30,,NO,0,CAPEX_FOR_FCF|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2025 Q2; Verify FCF for FY2025 Q2; Verify first-public result publication date for FY2025 Q2; Verify source semantics confirmation for FY2025 Q2; Verify Total Debt for FY2025 Q2,Phase 8G issue=PRIMARY_CORE_INCOMPLETE|PUBLISH_DATE_MISSING|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_DEBT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,5,40,Q2,2025,NO,issuer Investor Relations earnings release/archive,P2_LATEST4Q,4,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, FCF, first-public result publication date, source semantics confirmation, Total Debt. Do not research other fields.",P8H-2-0150,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,HIND,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|CASH|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,2057,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-06-30,2025-10-14,NO,0,CAPEX_FOR_FCF|CASH|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2025 Q4; Verify Cash for FY2025 Q4; Verify FCF for FY2025 Q4; Verify source semantics confirmation for FY2025 Q4; Verify Total Debt for FY2025 Q4,Phase 8G issue=PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_CASH|NEED_DEBT|NEED_FCF|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=FIXED_DATE_FISCAL_YEAR,5,40,Q4,2025,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,4,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, Cash, FCF, source semantics confirmation, Total Debt. Do not research other fields.",P8H-2-0303,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,SGLY,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,FIRST_PUBLIC_PUBLISH_DATE|FISCAL_TRANSITION_EVIDENCE|OFFICIAL_PERIOD_END|SOURCE_SEMANTICS_CONFIRMATION,884,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-10-31,,NO,0,FIRST_PUBLIC_PUBLISH_DATE|FISCAL_TRANSITION_EVIDENCE|OFFICIAL_PERIOD_END|SOURCE_SEMANTICS_CONFIRMATION,Verify first-public result publication date for FY2026 Q1; Verify fiscal transition evidence for FY2026 Q1; Verify official period_end for FY2026 Q1; Verify source semantics confirmation for FY2026 Q1,Phase 8G issue=PERIOD_END_TRANSITION_REVIEW|PUBLISH_DATE_MISSING|TRANSITION_REVIEW|TRANSITION_SEQUENCE; source dependency=NEED_FIRST_PUBLIC_RESULT_DATE|NEED_OFFICIAL_PERIOD_END|NEED_SOURCE_SEMANTICS_CONFIRMATION|NEED_TRANSITION_CALENDAR_EVIDENCE; structural context=CALENDAR_YEAR,4,15,Q1,2026,NO,issuer Investor Relations earnings release/archive,P2_LATEST4Q,2,"Research official issuer sources for FY2026 Q1. Verify first-public result publication date, fiscal transition evidence, official period_end, source semantics confirmation. Do not research other fields.",P8H-2-0128,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,STRUCTURAL_REVIEW_ALSO_REQUIRED,FERG,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,1510,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-06-30,2025-09-24,NO,0,CAPEX_FOR_FCF|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2025 Q2; Verify FCF for FY2025 Q2; Verify source semantics confirmation for FY2025 Q2; Verify Total Debt for FY2025 Q2,Phase 8G issue=PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_DEBT|NEED_FCF|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,4,35,Q2,2025,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,4,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, FCF, source semantics confirmation, Total Debt. Do not research other fields.",P8H-2-0219,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,MOVE,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,1587,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-06-30,2025-09-29,NO,0,CAPEX_FOR_FCF|FCF_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2025 Q4; Verify FCF for FY2025 Q4; Verify source semantics confirmation for FY2025 Q4; Verify Total Debt for FY2025 Q4,Phase 8G issue=PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_DEBT|NEED_FCF|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=FIXED_DATE_FISCAL_YEAR,4,35,Q4,2025,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,4,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, FCF, source semantics confirmation, Total Debt. Do not research other fields.",P8H-2-0227,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,NEUP,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,76,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2026-03-31,2026-05-04,NO,0,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify EBIT for FY2026 Q1; Verify source semantics confirmation for FY2026 Q1; Verify Total Debt for FY2026 Q1,Phase 8G issue=PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_DEBT|NEED_EBIT|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,3,30,Q1,2026,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,2,"Research official issuer sources for FY2026 Q1. Verify EBIT, source semantics confirmation, Total Debt. Do not research other fields.",P8H-2-0010,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,AGNC,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,FIRST_PUBLIC_PUBLISH_DATE|MISSING_QUARTER_EXISTENCE|TARGET_COLLISION_EVIDENCE,383,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-09-30,,NO,0,FIRST_PUBLIC_PUBLISH_DATE|MISSING_QUARTER_EXISTENCE|TARGET_COLLISION_EVIDENCE,Verify first-public result publication date for FY2025 Q3; Verify missing quarter existence/source evidence for FY2025 Q3; Verify target collision evidence for FY2025 Q3,Phase 8G issue=MISSING_QUARTER|PUBLISH_DATE_MISSING|TARGET_COLLISION; source dependency=NEED_FIRST_PUBLIC_RESULT_DATE|NEED_MISSING_QUARTER_SOURCE|NEED_TARGET_COLLISION_RESOLUTION; structural context=OTHER_VERIFIED,3,15,Q3,2025,NO,issuer Investor Relations earnings release/archive,P2_LATEST4Q,3,"Research official issuer sources for FY2025 Q3. Verify first-public result publication date, missing quarter existence/source evidence, target collision evidence. Do not research other fields.",P8H-2-0073,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,STRUCTURAL_REVIEW_ALSO_REQUIRED,BTBD,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,MISSING_QUARTER_EXISTENCE|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,410,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-08-31,2025-10-01,NO,0,MISSING_QUARTER_EXISTENCE|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,Verify missing quarter existence/source evidence for FY2026 Q1; Verify target collision evidence for FY2026 Q1; Verify Total Debt for FY2026 Q1,Phase 8G issue=MISSING_QUARTER|PRIMARY_CORE_INCOMPLETE|TARGET_COLLISION; source dependency=NEED_DEBT|NEED_MISSING_QUARTER_SOURCE|NEED_TARGET_COLLISION_RESOLUTION; structural context=WEEK_BASED_52_53,3,35,Q1,2026,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,4,"Research official issuer sources for FY2026 Q1. Verify missing quarter existence/source evidence, target collision evidence, Total Debt. Do not research other fields.",P8H-2-0078,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,STRUCTURAL_REVIEW_ALSO_REQUIRED,CALM,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,MISSING_QUARTER_EXISTENCE|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,410,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-11-30,2026-01-07,NO,0,MISSING_QUARTER_EXISTENCE|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,Verify missing quarter existence/source evidence for FY2026 Q2; Verify target collision evidence for FY2026 Q2; Verify Total Debt for FY2026 Q2,Phase 8G issue=MISSING_QUARTER|PRIMARY_CORE_INCOMPLETE|TARGET_COLLISION; source dependency=NEED_DEBT|NEED_MISSING_QUARTER_SOURCE|NEED_TARGET_COLLISION_RESOLUTION; structural context=WEEK_BASED_52_53,3,35,Q2,2026,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P2_LATEST4Q,3,"Research official issuer sources for FY2026 Q2. Verify missing quarter existence/source evidence, target collision evidence, Total Debt. Do not research other fields.",P8H-2-0079,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,STRUCTURAL_REVIEW_ALSO_REQUIRED,CALM,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
