affected_fy_fq,company_id,current_evidence,evidence_that_would_resolve_it,exact_decision_needed,external_research_also_required,fy_fq_locally_resolved,issue,priority,status,structural_category,structural_decision_remaining,structural_task_id,ticker
FY2026Q1,17,UNRESOLVED|UNRESOLVED,NEED_CAPEX|NEED_EBIT|NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q1: need EBIT ; FY2026Q1: need Capex ; FY2026Q1: need official fiscal year start and FY/FQ identity ; FY2026Q1: confirm sequence semantics ; FY2026Q1: Need approved issuer/company-specific EBIT rule; do not blanket map Operating Income,YES,NO,PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE|UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0011,ABR
FY2026Q1,21,UNRESOLVED|UNRESOLVED,NEED_CAPEX|NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q1: need Capex ; FY2026Q1: need official fiscal year start and FY/FQ identity ; FY2026Q1: confirm sequence semantics,YES,NO,SECONDARY_FIELDS_INCOMPLETE|UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0012,ABVC
FY2026Q2,26,UNRESOLVED|UNRESOLVED,NEED_FIRST_PUBLIC_RESULT_DATE|NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q2: need official fiscal year start and FY/FQ identity ; FY2026Q2: need first-public result date ; FY2026Q2: confirm sequence semantics,YES,NO,PUBLISH_DATE_MISSING|UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0013,ACEL
FY2026Q1,26,UNRESOLVED|UNRESOLVED,NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q1: need official fiscal year start and FY/FQ identity ; FY2026Q1: confirm sequence semantics,YES,NO,UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0014,ACEL
FY2025Q3,30,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_MISSING_QUARTER_SOURCE|NEED_TARGET_COLLISION_RESOLUTION,FY2025Q3: verify missing adjacent fiscal quarter source ; FY2025Q3: target FY/FQ collision requires reconciliation,YES,NO,MISSING_QUARTER|TARGET_COLLISION,P2_LATEST4Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0015,ACI
FY2025Q2,30,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_TARGET_COLLISION_RESOLUTION,FY2025Q2: target FY/FQ collision requires reconciliation,YES,NO,TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0016,ACI
FY2025Q1,30,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_MISSING_QUARTER_SOURCE|NEED_TARGET_COLLISION_RESOLUTION,FY2025Q1: verify missing adjacent fiscal quarter source ; FY2025Q1: target FY/FQ collision requires reconciliation,YES,NO,MISSING_QUARTER|TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0017,ACI
FY2024Q3,30,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_MISSING_QUARTER_SOURCE|NEED_TARGET_COLLISION_RESOLUTION,FY2024Q3: verify missing adjacent fiscal quarter source ; FY2024Q3: target FY/FQ collision requires reconciliation,YES,NO,MISSING_QUARTER|TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0018,ACI
FY2026Q2,37,UNRESOLVED|UNRESOLVED,NEED_EBIT|NEED_GROSS_PROFIT|NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q2: need EBIT ; FY2026Q2: need Gross Profit ; FY2026Q2: need official fiscal year start and FY/FQ identity ; FY2026Q2: confirm sequence semantics ; FY2026Q2: Need approved issuer/company-specific EBIT rule; do not blanket map Operating Income,YES,NO,PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE|UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0019,ACRE
FY2026Q1,37,UNRESOLVED|UNRESOLVED,NEED_EBIT|NEED_GROSS_PROFIT|NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q1: need EBIT ; FY2026Q1: need Gross Profit ; FY2026Q1: need official fiscal year start and FY/FQ identity ; FY2026Q1: confirm sequence semantics ; FY2026Q1: Need approved issuer/company-specific EBIT rule; do not blanket map Operating Income,YES,NO,PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE|UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0020,ACRE
FY2025Q3,45,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_MISSING_QUARTER_SOURCE|NEED_TARGET_COLLISION_RESOLUTION,FY2025Q3: verify missing adjacent fiscal quarter source ; FY2025Q3: target FY/FQ collision requires reconciliation,NO,NO,MISSING_QUARTER|TARGET_COLLISION,P2_LATEST4Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0021,ADBE
FY2025Q2,45,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_MISSING_QUARTER_SOURCE|NEED_TARGET_COLLISION_RESOLUTION,FY2025Q2: verify missing adjacent fiscal quarter source ; FY2025Q2: target FY/FQ collision requires reconciliation,NO,NO,MISSING_QUARTER|TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0022,ADBE
FY2024Q2,49,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_TARGET_COLLISION_RESOLUTION,FY2024Q2: target FY/FQ collision requires reconciliation,NO,NO,TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0023,ADI
FY2026Q2,50,UNRESOLVED|UNRESOLVED,NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q2: need official fiscal year start and FY/FQ identity ; FY2026Q2: confirm sequence semantics,YES,NO,UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0024,ADM
FY2026Q1,50,UNRESOLVED|UNRESOLVED,NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q1: need official fiscal year start and FY/FQ identity ; FY2026Q1: confirm sequence semantics,YES,NO,UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0025,ADM
FY2025Q1,55,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_TARGET_COLLISION_RESOLUTION,FY2025Q1: reconcile stored FY/FQ against direct exact fiscal anchor ; FY2025Q1: target FY/FQ collision requires reconciliation,YES,NO,FY_CONFLICT_DIRECT_EXACT|TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0026,ADSK
FY2026Q3,61,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_MISSING_QUARTER_SOURCE|NEED_TARGET_COLLISION_RESOLUTION,FY2026Q3: verify missing adjacent fiscal quarter source ; FY2026Q3: target FY/FQ collision requires reconciliation,YES,NO,MISSING_QUARTER|TARGET_COLLISION,P2_LATEST4Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0027,AEHR
FY2026Q2,61,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_TARGET_COLLISION_RESOLUTION,FY2026Q2: target FY/FQ collision requires reconciliation,YES,NO,TARGET_COLLISION,P2_LATEST4Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0028,AEHR
FY2026Q1,61,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_TARGET_COLLISION_RESOLUTION,FY2026Q1: target FY/FQ collision requires reconciliation,YES,NO,TARGET_COLLISION,P2_LATEST4Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0029,AEHR
FY2025Q4,61,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_OFFICIAL_PERIOD_END|NEED_TARGET_COLLISION_RESOLUTION,FY2025Q4: reconcile stored FY/FQ against direct exact fiscal anchor ; FY2025Q4: need official period_end ; FY2025Q4: target FY/FQ collision requires reconciliation,YES,NO,FY_CONFLICT_DIRECT_EXACT|PERIOD_END_FISCAL_SLOT_CONFLICT|TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0030,AEHR
FY2026Q1,71,UNRESOLVED|UNRESOLVED,NEED_CAPEX|NEED_EBIT|NEED_EBITDA|NEED_GROSS_PROFIT|NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_OPERATING_INCOME|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q1: need EBIT ; FY2026Q1: need Gross Profit ; FY2026Q1: need Operating Income ; FY2026Q1: need EBITDA ; FY2026Q1: need Capex ; FY2026Q1: need official fiscal year start and FY/FQ identity ; FY2026Q1: confirm sequence semantics,YES,NO,PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE|UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0031,AFCG
FY2026Q2,72,UNRESOLVED|UNRESOLVED,NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q2: need official fiscal year start and FY/FQ identity ; FY2026Q2: confirm sequence semantics,YES,NO,UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0032,AGCO
FY2026Q1,72,UNRESOLVED|UNRESOLVED,NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q1: need official fiscal year start and FY/FQ identity ; FY2026Q1: confirm sequence semantics,YES,NO,UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0033,AGCO
FY2025Q1,77,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_TARGET_COLLISION_RESOLUTION,FY2025Q1: reconcile stored FY/FQ against direct exact fiscal anchor ; FY2025Q1: target FY/FQ collision requires reconciliation,YES,NO,FY_CONFLICT_DIRECT_EXACT|TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0034,AGX
FY2025Q4,78,DIRECT_EXACT_INTERVAL|TARGET_SELF,NEED_OFFICIAL_PERIOD_END|NEED_SOURCE_SEMANTICS_CONFIRMATION|NEED_TRANSITION_CALENDAR_EVIDENCE,FY2025Q4: need transition/stub calendar decision ; FY2025Q4: need official period_end ; FY2025Q4: confirm sequence semantics,YES,NO,PERIOD_END_TRANSITION_REVIEW|TRANSITION_REVIEW|TRANSITION_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,CALENDAR_TRANSITION,YES,P8H-S-0035,AGYS
FY2025Q3,78,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_OFFICIAL_PERIOD_END|NEED_SOURCE_SEMANTICS_CONFIRMATION|NEED_TARGET_COLLISION_RESOLUTION|NEED_TRANSITION_CALENDAR_EVIDENCE,FY2025Q3: need transition/stub calendar decision ; FY2025Q3: need official period_end ; FY2025Q3: confirm sequence semantics ; FY2025Q3: target FY/FQ collision requires reconciliation,YES,NO,PERIOD_END_TRANSITION_REVIEW|TARGET_COLLISION|TRANSITION_REVIEW|TRANSITION_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,CALENDAR_TRANSITION,YES,P8H-S-0036,AGYS
FY2025Q2,78,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_OFFICIAL_PERIOD_END|NEED_SOURCE_SEMANTICS_CONFIRMATION|NEED_TARGET_COLLISION_RESOLUTION|NEED_TRANSITION_CALENDAR_EVIDENCE,FY2025Q2: need transition/stub calendar decision ; FY2025Q2: need official period_end ; FY2025Q2: confirm sequence semantics ; FY2025Q2: target FY/FQ collision requires reconciliation,YES,NO,PERIOD_END_TRANSITION_REVIEW|TARGET_COLLISION|TRANSITION_REVIEW|TRANSITION_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,CALENDAR_TRANSITION,YES,P8H-S-0037,AGYS
FY2025Q1,78,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_OFFICIAL_PERIOD_END|NEED_SOURCE_SEMANTICS_CONFIRMATION|NEED_TARGET_COLLISION_RESOLUTION|NEED_TRANSITION_CALENDAR_EVIDENCE,FY2025Q1: need transition/stub calendar decision ; FY2025Q1: need official period_end ; FY2025Q1: confirm sequence semantics ; FY2025Q1: target FY/FQ collision requires reconciliation,YES,NO,PERIOD_END_TRANSITION_REVIEW|TARGET_COLLISION|TRANSITION_REVIEW|TRANSITION_SEQUENCE,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,CALENDAR_TRANSITION,YES,P8H-S-0038,AGYS
FY2024Q3,78,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_OFFICIAL_PERIOD_END|NEED_SOURCE_SEMANTICS_CONFIRMATION|NEED_TARGET_COLLISION_RESOLUTION|NEED_TRANSITION_CALENDAR_EVIDENCE,FY2024Q3: need transition/stub calendar decision ; FY2024Q3: need official period_end ; FY2024Q3: confirm sequence semantics ; FY2024Q3: target FY/FQ collision requires reconciliation,YES,NO,PERIOD_END_TRANSITION_REVIEW|TARGET_COLLISION|TRANSITION_REVIEW|TRANSITION_SEQUENCE,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,CALENDAR_TRANSITION,YES,P8H-S-0039,AGYS
FY2024Q2,78,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_OFFICIAL_PERIOD_END|NEED_SOURCE_SEMANTICS_CONFIRMATION|NEED_TARGET_COLLISION_RESOLUTION|NEED_TRANSITION_CALENDAR_EVIDENCE,FY2024Q2: need transition/stub calendar decision ; FY2024Q2: need official period_end ; FY2024Q2: confirm sequence semantics ; FY2024Q2: target FY/FQ collision requires reconciliation,YES,NO,PERIOD_END_TRANSITION_REVIEW|TARGET_COLLISION|TRANSITION_REVIEW|TRANSITION_SEQUENCE,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,CALENDAR_TRANSITION,YES,P8H-S-0040,AGYS
FY2024Q1,78,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_DEBT|NEED_OFFICIAL_PERIOD_END|NEED_SOURCE_SEMANTICS_CONFIRMATION|NEED_TARGET_COLLISION_RESOLUTION|NEED_TRANSITION_CALENDAR_EVIDENCE,FY2024Q1: need Debt ; FY2024Q1: need transition/stub calendar decision ; FY2024Q1: need official period_end ; FY2024Q1: confirm sequence semantics ; FY2024Q1: target FY/FQ collision requires reconciliation,YES,NO,PERIOD_END_TRANSITION_REVIEW|PRIMARY_CORE_INCOMPLETE|TARGET_COLLISION|TRANSITION_REVIEW|TRANSITION_SEQUENCE,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,CALENDAR_TRANSITION,YES,P8H-S-0041,AGYS
FY2026Q2,96,UNRESOLVED|UNRESOLVED,NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q2: need official fiscal year start and FY/FQ identity ; FY2026Q2: confirm sequence semantics,YES,NO,UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0042,AKR
FY2026Q1,96,UNRESOLVED|UNRESOLVED,NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_SOURCE_SEMANTICS_CONFIRMATION,FY2026Q1: need official fiscal year start and FY/FQ identity ; FY2026Q1: confirm sequence semantics,YES,NO,UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE,P1_CURRENT,STRUCTURAL_REVIEW_SEPARATE,SOURCE_SEMANTIC_AMBIGUITY,YES,P8H-S-0043,AKR
FY2025Q1,115,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_TARGET_COLLISION_RESOLUTION,FY2025Q1: reconcile stored FY/FQ against direct exact fiscal anchor ; FY2025Q1: target FY/FQ collision requires reconciliation,YES,NO,FQ_CONFLICT_DIRECT_EXACT|TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0044,ALMU
FY2024Q3,115,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_TARGET_COLLISION_RESOLUTION,FY2024Q3: reconcile stored FY/FQ against direct exact fiscal anchor ; FY2024Q3: target FY/FQ collision requires reconciliation,YES,NO,FY_CONFLICT_DIRECT_EXACT|TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0045,ALMU
FY2024Q1,115,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_DEBT|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_TARGET_COLLISION_RESOLUTION,FY2024Q1: need Debt ; FY2024Q1: reconcile stored FY/FQ against direct exact fiscal anchor ; FY2024Q1: need first-public result date ; FY2024Q1: target FY/FQ collision requires reconciliation,YES,NO,FQ_CONFLICT_DIRECT_EXACT|PRIMARY_CORE_INCOMPLETE|PUBLISH_SEQUENCE_CONFLICT|TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0046,ALMU
FY2025Q3,129,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_MISSING_QUARTER_SOURCE|NEED_TARGET_COLLISION_RESOLUTION,FY2025Q3: verify missing adjacent fiscal quarter source ; FY2025Q3: target FY/FQ collision requires reconciliation,NO,NO,MISSING_QUARTER|TARGET_COLLISION,P2_LATEST4Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0047,AMAT
FY2025Q2,129,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_MISSING_QUARTER_SOURCE|NEED_TARGET_COLLISION_RESOLUTION,FY2025Q2: verify missing adjacent fiscal quarter source ; FY2025Q2: target FY/FQ collision requires reconciliation,NO,NO,MISSING_QUARTER|TARGET_COLLISION,P3_LATEST8Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0048,AMAT
FY2025Q2,130,DIRECT_EXACT_INTERVAL|TARGET_DIFFERENT_ECONOMIC,NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_TARGET_COLLISION_RESOLUTION,FY2025Q2: reconcile stored FY/FQ against direct exact fiscal anchor ; FY2025Q2: target FY/FQ collision requires reconciliation,YES,NO,FY_CONFLICT_DIRECT_EXACT|TARGET_COLLISION,P2_LATEST4Q,STRUCTURAL_REVIEW_SEPARATE,TARGET_DIFFERENT_ECONOMIC,YES,P8H-S-0049,AMBA
