evidence_type,exact_anchor_coverage,fiscal_quarter,fiscal_year,keep_external,local_fq_status,local_fy_status,local_sequence_status,original_request,priority,remaining_external_requirement,removal_reason,research_task_id,structural_boundary_status,ticker
FCF_DIRECT,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,FCF_DIRECT,,P8H-2-0154,NO_STRUCTURAL_BOUNDARY,HOLO
FIRST_PUBLIC_PUBLISH_DATE,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,FIRST_PUBLIC_PUBLISH_DATE,,P8H-2-0154,NO_STRUCTURAL_BOUNDARY,HOLO
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q2,2025,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0154,NO_STRUCTURAL_BOUNDARY,HOLO
OCF_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,OCF_FOR_FCF,,P8H-2-0154,NO_STRUCTURAL_BOUNDARY,HOLO
REVENUE,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,REVENUE,,P8H-2-0154,NO_STRUCTURAL_BOUNDARY,HOLO
SOURCE_SEMANTICS_CONFIRMATION,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,SOURCE_SEMANTICS_CONFIRMATION,,P8H-2-0154,NO_STRUCTURAL_BOUNDARY,HOLO
CAPEX_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,CAPEX_FOR_FCF,,P8H-2-0211,NO_STRUCTURAL_BOUNDARY,MLGO
EBIT_DIRECT,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,EBIT_DIRECT,,P8H-2-0211,NO_STRUCTURAL_BOUNDARY,MLGO
FCF_DIRECT,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,FCF_DIRECT,,P8H-2-0211,NO_STRUCTURAL_BOUNDARY,MLGO
FIRST_PUBLIC_PUBLISH_DATE,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,FIRST_PUBLIC_PUBLISH_DATE,,P8H-2-0211,NO_STRUCTURAL_BOUNDARY,MLGO
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q2,2025,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0211,NO_STRUCTURAL_BOUNDARY,MLGO
OCF_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,OCF_FOR_FCF,,P8H-2-0211,NO_STRUCTURAL_BOUNDARY,MLGO
REVENUE,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,REVENUE,,P8H-2-0211,NO_STRUCTURAL_BOUNDARY,MLGO
SOURCE_SEMANTICS_CONFIRMATION,ADJACENT_EXACT_ANCHORS,Q2,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q2. Verify Capex required to derive FCF, EBIT, FCF, first-public result publication date, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,SOURCE_SEMANTICS_CONFIRMATION,,P8H-2-0211,NO_STRUCTURAL_BOUNDARY,MLGO
CAPEX_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q3,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q3. Verify Capex required to derive FCF, Cash, FCF, OCF required to derive FCF, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,CAPEX_FOR_FCF,,P8H-2-0109,NO_STRUCTURAL_BOUNDARY,DEC
CASH,ADJACENT_EXACT_ANCHORS,Q3,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q3. Verify Capex required to derive FCF, Cash, FCF, OCF required to derive FCF, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,CASH,,P8H-2-0109,NO_STRUCTURAL_BOUNDARY,DEC
FCF_DIRECT,ADJACENT_EXACT_ANCHORS,Q3,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q3. Verify Capex required to derive FCF, Cash, FCF, OCF required to derive FCF, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,FCF_DIRECT,,P8H-2-0109,NO_STRUCTURAL_BOUNDARY,DEC
OCF_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q3,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q3. Verify Capex required to derive FCF, Cash, FCF, OCF required to derive FCF, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,OCF_FOR_FCF,,P8H-2-0109,NO_STRUCTURAL_BOUNDARY,DEC
SHARES_OUTSTANDING,ADJACENT_EXACT_ANCHORS,Q3,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q3. Verify Capex required to derive FCF, Cash, FCF, OCF required to derive FCF, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,SHARES_OUTSTANDING,,P8H-2-0109,NO_STRUCTURAL_BOUNDARY,DEC
SOURCE_SEMANTICS_CONFIRMATION,ADJACENT_EXACT_ANCHORS,Q3,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q3. Verify Capex required to derive FCF, Cash, FCF, OCF required to derive FCF, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,SOURCE_SEMANTICS_CONFIRMATION,,P8H-2-0109,NO_STRUCTURAL_BOUNDARY,DEC
TOTAL_DEBT,ADJACENT_EXACT_ANCHORS,Q3,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q3. Verify Capex required to derive FCF, Cash, FCF, OCF required to derive FCF, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,TOTAL_DEBT,,P8H-2-0109,NO_STRUCTURAL_BOUNDARY,DEC
CAPEX_FOR_FCF,SHORT_INFERENCE,Q1,2026,YES,FQ_REQUIRES_REVIEW,FY_UNRESOLVED,,"Research official issuer sources for FY2026 Q1. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,CAPEX_FOR_FCF,,P8H-2-0123,NO_STRUCTURAL_BOUNDARY,ELME
EBIT_DIRECT,SHORT_INFERENCE,Q1,2026,YES,FQ_REQUIRES_REVIEW,FY_UNRESOLVED,,"Research official issuer sources for FY2026 Q1. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,EBIT_DIRECT,,P8H-2-0123,NO_STRUCTURAL_BOUNDARY,ELME
FCF_DIRECT,SHORT_INFERENCE,Q1,2026,YES,FQ_REQUIRES_REVIEW,FY_UNRESOLVED,,"Research official issuer sources for FY2026 Q1. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,FCF_DIRECT,,P8H-2-0123,NO_STRUCTURAL_BOUNDARY,ELME
OCF_FOR_FCF,SHORT_INFERENCE,Q1,2026,YES,FQ_REQUIRES_REVIEW,FY_UNRESOLVED,,"Research official issuer sources for FY2026 Q1. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,OCF_FOR_FCF,,P8H-2-0123,NO_STRUCTURAL_BOUNDARY,ELME
REVENUE,SHORT_INFERENCE,Q1,2026,YES,FQ_REQUIRES_REVIEW,FY_UNRESOLVED,,"Research official issuer sources for FY2026 Q1. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,REVENUE,,P8H-2-0123,NO_STRUCTURAL_BOUNDARY,ELME
SOURCE_SEMANTICS_CONFIRMATION,SHORT_INFERENCE,Q1,2026,YES,FQ_REQUIRES_REVIEW,FY_UNRESOLVED,,"Research official issuer sources for FY2026 Q1. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,SOURCE_SEMANTICS_CONFIRMATION,,P8H-2-0123,NO_STRUCTURAL_BOUNDARY,ELME
TOTAL_DEBT,SHORT_INFERENCE,Q1,2026,YES,FQ_REQUIRES_REVIEW,FY_UNRESOLVED,,"Research official issuer sources for FY2026 Q1. Verify Capex required to derive FCF, EBIT, FCF, OCF required to derive FCF, Revenue, source semantics confirmation, Total Debt. Do not research other fields.",P2_LATEST4Q,TOTAL_DEBT,,P8H-2-0123,NO_STRUCTURAL_BOUNDARY,ELME
CAPEX_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,CAPEX_FOR_FCF,,P8H-2-0153,NO_STRUCTURAL_BOUNDARY,HOLO
EBIT_DIRECT,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,EBIT_DIRECT,,P8H-2-0153,NO_STRUCTURAL_BOUNDARY,HOLO
FCF_DIRECT,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,FCF_DIRECT,,P8H-2-0153,NO_STRUCTURAL_BOUNDARY,HOLO
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q4,2024,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0153,NO_STRUCTURAL_BOUNDARY,HOLO
OCF_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,OCF_FOR_FCF,,P8H-2-0153,NO_STRUCTURAL_BOUNDARY,HOLO
REVENUE,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,REVENUE,,P8H-2-0153,NO_STRUCTURAL_BOUNDARY,HOLO
SOURCE_SEMANTICS_CONFIRMATION,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,SOURCE_SEMANTICS_CONFIRMATION,,P8H-2-0153,NO_STRUCTURAL_BOUNDARY,HOLO
CAPEX_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,CAPEX_FOR_FCF,,P8H-2-0210,NO_STRUCTURAL_BOUNDARY,MLGO
EBIT_DIRECT,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,EBIT_DIRECT,,P8H-2-0210,NO_STRUCTURAL_BOUNDARY,MLGO
FCF_DIRECT,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,FCF_DIRECT,,P8H-2-0210,NO_STRUCTURAL_BOUNDARY,MLGO
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q4,2024,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0210,NO_STRUCTURAL_BOUNDARY,MLGO
OCF_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,OCF_FOR_FCF,,P8H-2-0210,NO_STRUCTURAL_BOUNDARY,MLGO
REVENUE,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,REVENUE,,P8H-2-0210,NO_STRUCTURAL_BOUNDARY,MLGO
SOURCE_SEMANTICS_CONFIRMATION,ADJACENT_EXACT_ANCHORS,Q4,2024,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2024 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,SOURCE_SEMANTICS_CONFIRMATION,,P8H-2-0210,NO_STRUCTURAL_BOUNDARY,MLGO
CAPEX_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q4,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,CAPEX_FOR_FCF,,P8H-2-0226,NO_STRUCTURAL_BOUNDARY,NEGG
EBIT_DIRECT,ADJACENT_EXACT_ANCHORS,Q4,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,EBIT_DIRECT,,P8H-2-0226,NO_STRUCTURAL_BOUNDARY,NEGG
FCF_DIRECT,ADJACENT_EXACT_ANCHORS,Q4,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,FCF_DIRECT,,P8H-2-0226,NO_STRUCTURAL_BOUNDARY,NEGG
MISSING_QUARTER_EXISTENCE,ADJACENT_EXACT_ANCHORS,Q4,2025,NO,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,,MISSING_QUARTER_ALREADY_IDENTIFIED_LOCALLY,P8H-2-0226,NO_STRUCTURAL_BOUNDARY,NEGG
OCF_FOR_FCF,ADJACENT_EXACT_ANCHORS,Q4,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,OCF_FOR_FCF,,P8H-2-0226,NO_STRUCTURAL_BOUNDARY,NEGG
REVENUE,ADJACENT_EXACT_ANCHORS,Q4,2025,YES,FQ_RESOLVED_LOCAL_HIGH,FY_RESOLVED_DIRECT_EXACT,,"Research official issuer sources for FY2025 Q4. Verify Capex required to derive FCF, EBIT, FCF, missing quarter existence/source evidence, OCF required to derive FCF, Revenue, source semantics confirmation. Do not research other fields.",P2_LATEST4Q,REVENUE,,P8H-2-0226,NO_STRUCTURAL_BOUNDARY,NEGG
